Player,Id
Juraj Slafkovsky,8483515
Simon Nemec,8483495
Logan Cooley,8483431
Cutter Gauthier,8483445
David Jiricek,8483460
Kevin Korchinski,8483466
Marco Kasper,8483464
Matthew Savoie,NOT FOUND
Pavel Mintyukov,8483490
Conor Geekie,8483447
Denton Mateychuk,8483485
Frank Nazar,8483493
Rutger McGroarty,8483487
Jonathan Lekkerimaki,8483476
Noah Ostlund,8483500
Joakim Kemell,8483465
Lian Bichsel,8483425
Liam Ohgren,8483499
Ivan Miroshnichenko,8483491
Owen Pickering,8483503
Nathan Gaucher,8483444
Jimmy Snuggerud,8483516
Danila Yurov,8483525
Sam Rinzel,8483506
Filip Mesar,8483488
Filip Bystedt,8483428
Jiri Kulich,8483468
Maveric Lamoureux,8483472
Brad Lambert,8483471
Isaac Howard,8483455
Reid Schaefer,8483513
Mason McTavish,8482745
Luke Hughes,8482684
Kent Johnson,8482660
Simon Edvinsson,8482762
William Eklund,8482667
Brandt Clarke,8482730
Dylan Guenther,8482699
Tyler Boucher,8482674
Matt Coronato,8482679
Isak Rosen,8482765
Sebastian Cossa,8482657
Brennan Othmann,8482747
Zachary Bolduc,8482737
Chaz Lucius,8482780
Fedor Svechkov,8482768
Jesper Wallstedt,8482661
Fabian Lysell,8482763
Xavier Bourgault,8482673
Wyatt Johnston,8482740
Matthew Samoskevich,NOT FOUND
Corson Ceulemans,8482678
Carson Lambos,8482781
Zachary L'Heureux,8482742
Oskar Olausson,8482712
Chase Stillman,8482714
Zachary Dean,NOT FOUND
Logan Mailloux,8482733
Nolan Allan,8482700
Quinton Byfield,8482124
Alexander Holtz,8482125
Jack Quinn,8482097
Marco Rossi,8482079
Cole Perfetti,8482149
Yaroslav Askarov,8482137
Dylan Holloway,8482077
Rodion Amirov,8482099
Kaiden Guhle,8482087
Lukas Reichel,8482117
Braden Schneider,8482073
Shakir Mukhamadullin,8482166
Yegor Chinakhov,8482475
Hendrix Lapierre,8482148
Tyson Foerster,8482159
Connor Zary,8482074
Justin Barron,8482111
Jake Neighbours,8482089
Jacob Perreault,8482150
Ridly Greig,8482092
Brendan Brisson,8482153
Mavrik Bourque,8482145
Ozzy Wiesblatt,8482103
Alex Turcotte,8481532
Philip Broberg,8481598
Vasili Podkolzin,NOT FOUND
Victor Soderstrom,8481599
Cam York,8481546
Thomas Harley,8481581
Lassi Thomson,8481575
Ville Heinola,8481572
Samuel Poulin,NOT FOUND
Tobias Bjornfot,8481600
Simon Holmstrom,8481601
Jakob Pelletier,8481592
Nolan Foote,8481518
Ryan Suzuki,8481576
Brayden Tracey,8481530
John Beecher,8481556
Ryan Johnson,8460527
Vitali Kravtsov,8480833
Ty Dellandrea,8480848
Grigori Denisenko,8480844
Martin Kaut,8480822
