Player,Position,PreVORP,RichVal
Connor McDavid,C,595.6487620807615,325.64876208076146
Leon Draisaitl,"C,LW",527.6685418849733,272.66854188497325
Nikita Kucherov,RW,437.21483515626835,192.21483515626835
David Pastrnak,RW,472.3266963257008,227.32669632570082
Erik Karlsson,D,285.7493196528895,65.74931965288948
Jason Robertson,LW,414.0925392716841,159.09253927168407
Tage Thompson,"C,RW",397.40750168796467,152.40750168796467
Mikko Rantanen,"C,RW",468.900770386594,223.900770386594
Matthew Tkachuk,RW,447.6521149735464,202.65211497354642
Jack Hughes,"C,LW",397.93103600268796,142.93103600268796
Kyle Connor,LW,409.57664623995976,154.57664623995976
Mitch Marner,RW,408.7815068306599,163.7815068306599
Ryan Nugent-Hopkins,"C,LW",313.41983584984,58.41983584984001
Alex Ovechkin,LW,389.9537519067456,134.9537519067456
Kirill Kaprizov,LW,443.16709059666744,188.16709059666744
Sidney Crosby,C,383.4800487471987,113.48004874719868
Steven Stamkos,"C,LW",390.23488642845183,135.23488642845183
Elias Pettersson,"C,LW",381.7872897995785,126.7872897995785
William Nylander,"LW,RW",369.5745939278757,124.5745939278757
Zach Hyman,"LW,RW",324.48259611514356,79.48259611514356
Bo Horvat,C,344.8611605515129,74.86116055151291
Auston Matthews,C,509.91762626569107,239.91762626569107
Pierre-Luc Dubois,C,320.64790849030356,50.647908490303564
Nathan MacKinnon,C,482.9180883318831,212.9180883318831
Josh Morrissey,D,285.39997797807854,65.39997797807854
Travis Konecny,RW,333.1099322332874,88.1099322332874
Rasmus Dahlin,D,380.8101204047471,160.81012040474712
Brayden Point,C,349.7677014569232,79.76770145692319
Alex Tuch,RW,300.3699488586252,55.36994885862521
Kevin Fiala,"LW,RW",349.2166341262844,104.21663412628442
Artemi Panarin,LW,342.66061369054825,87.66061369054825
Timo Meier,"LW,RW",357.54625223827173,112.54625223827173
Mika Zibanejad,C,400.81104015455924,130.81104015455924
Brady Tkachuk,LW,369.51429299471965,114.51429299471965
John Tavares,C,349.11619349188805,79.11619349188805
Jesper Bratt,RW,319.98341326782264,74.98341326782264
Adam Fox,D,372.60731251758216,152.60731251758216
Roope Hintz,C,337.4769493355768,67.47694933557682
Mats Zuccarello,RW,316.7483028744458,71.74830287444581
Evgeni Malkin,C,327.84579902131014,57.84579902131014
Joe Pavelski,"C,RW",333.74113384504716,88.74113384504716
Nico Hischier,C,327.6212607087405,57.62126070874052
Jeff Skinner,LW,295.14187345048924,40.14187345048924
Cale Makar,D,395.18302126134904,175.18302126134904
Jordan Kyrou,"LW,RW",301.9970530049186,56.9970530049186
Tim Stützle,"C,LW",269.82546583850933,14.82546583850933
Brad Marchand,LW,385.93070414819385,130.93070414819385
Tomas Hertl,C,291.808223153461,21.808223153460972
Elias Lindholm,C,345.97513555820836,75.97513555820836
Johnny Gaudreau,LW,348.30563131704184,93.30563131704184
Mathew Barzal,C,288.4868832440726,18.4868832440726
Jamie Benn,"C,LW",274.61486492764453,19.614864927644533
J.T. Miller,"C,LW,RW",346.2664885347088,101.2664885347088
Dylan Larkin,C,294.2087324971154,24.20873249711542
Drake Batherson,RW,276.94730902453006,31.947309024530057
Dylan Cozens,C,277.8713161151876,7.8713161151875966
Kevin Hayes,"C,LW",244.56787182786235,-10.432128172137652
Chandler Stephenson,"C,LW,RW",281.0872045066776,36.08720450667761
Robert Thomas,C,254.2510962998437,-15.74890370015629
Quinn Hughes,D,291.266630300176,71.26663030017602
Mark Scheifele,C,330.61769668428633,60.61769668428633
Filip Forsberg,LW,321.63337314714437,66.63337314714437
Jake Guentzel,LW,375.24456013650774,120.24456013650774
Andrei Kuzmenko,"LW,RW",221.12274918997542,-23.877250810024577
Martin Necas,RW,307.8050003866939,62.805000386693905
Alex DeBrincat,LW,362.2825882028892,107.2825882028892
Claude Giroux,"C,RW",272.8690327216344,27.869032721634426
Brock Nelson,C,294.8798875107091,24.879887510709125
Brandon Hagel,"LW,RW",254.60189709488245,9.601897094882446
Mark Stone,RW,298.34697750043904,53.34697750043904
Tyler Toffoli,"LW,RW",294.7368006819978,49.736800681997806
Clayton Keller,"LW,RW",272.2040811593003,27.2040811593003
Dougie Hamilton,D,324.3302443734191,104.33024437341908
Nick Suzuki,C,274.7871008186668,4.787100818666772
