Player,Position,PreVORP,RichVal
Connor McDavid,C,597.0844279653454,327.0844279653454
Leon Draisaitl,"C,LW",526.2779707025984,271.2779707025984
Nikita Kucherov,RW,436.4348785583165,191.43487855831648
David Pastrnak,RW,469.34730718965335,224.34730718965335
Erik Karlsson,D,285.7493196528895,65.74931965288948
Jason Robertson,LW,418.5138791137194,163.51387911371938
Tage Thompson,"C,RW",397.2376907494103,152.23769074941032
Mikko Rantanen,"C,RW",468.900770386594,223.900770386594
Matthew Tkachuk,RW,455.7686182090628,210.76861820906282
Jack Hughes,"C,LW",396.4107440359989,141.4107440359989
Kyle Connor,LW,408.49584751070387,153.49584751070387
Mitch Marner,RW,409.7403373527206,164.7403373527206
Ryan Nugent-Hopkins,"C,LW",314.8836076871364,59.88360768713642
Alex Ovechkin,LW,387.9233962001867,132.9233962001867
Kirill Kaprizov,LW,442.88837554963663,187.88837554963663
Sidney Crosby,C,383.4800487471987,113.48004874719868
Steven Stamkos,"C,LW",390.4312991475404,135.43129914754041
Elias Pettersson,"C,LW",381.7872897995785,126.7872897995785
William Nylander,"LW,RW",369.77315100285193,124.77315100285193
Zach Hyman,"LW,RW",328.9125581307209,83.91255813072092
Bo Horvat,C,344.8611605515129,74.86116055151291
Auston Matthews,C,516.2443689021139,246.24436890211393
Pierre-Luc Dubois,C,317.7187191639374,47.71871916393741
Nathan MacKinnon,C,482.9180883318831,212.9180883318831
Josh Morrissey,D,284.93882113528446,64.93882113528446
Travis Konecny,RW,329.7854980399545,84.78549803995452
Rasmus Dahlin,D,383.21381429962213,163.21381429962213
Brayden Point,C,352.2032669908986,82.20326699089861
Alex Tuch,RW,301.2912097925863,56.2912097925863
Kevin Fiala,"LW,RW",346.62305515803615,101.62305515803615
Artemi Panarin,LW,340.49961688318837,85.49961688318837
Timo Meier,"LW,RW",357.54625223827173,112.54625223827173
Mika Zibanejad,C,397.6340894094803,127.63408940948028
Brady Tkachuk,LW,369.51429299471965,114.51429299471965
John Tavares,C,346.7622414795584,76.76224147955838
Jesper Bratt,RW,319.0060848239241,74.00608482392408
Adam Fox,D,368.8366735711559,148.83667357115593
Roope Hintz,C,337.4769493355768,67.47694933557682
Mats Zuccarello,RW,316.2389327644078,71.23893276440782
Evgeni Malkin,C,327.84579902131014,57.84579902131014
Joe Pavelski,"C,RW",334.96440323976,89.96440323975997
