Player,Position,PreVORP,RichVal
Connor McDavid,C,609.6238295,329.6238295
Leon Draisaitl,"C,LW",523.543735,266.543735
Auston Matthews,C,515.0141153,235.0141153
Nathan MacKinnon,C,507.90152,227.90152
Matthew Tkachuk,RW,469.9696184,217.9696184
Mikko Rantanen,"C,RW",469.7479065,217.7479065
David Pastrnak,RW,462.0786457,210.0786457
Cale Makar,D,389.249487,173.249487
Andrei Vasilevskiy,G,350.5874085,168.5874085
Nikita Kucherov,RW,415.9842322,163.9842322
Mitch Marner,RW,413.6164907,161.6164907
Kirill Kaprizov,LW,417.8588253,160.8588253
Juuse Saros,G,341.6483917,159.6483917
Connor Hellebuyck,G,338.7341406,156.7341406
Jason Robertson,LW,408.5724876,151.5724876
Roman Josi,D,361.7837119,145.7837119
Adam Fox,D,359.8967172,143.8967172
Elias Pettersson,"C,LW",397.0528494,140.0528494
Jack Hughes,"C,LW",394.3460583,137.3460583
Aleksander Barkov,C,416.5990652,136.5990652
Rasmus Dahlin,D,351.5802407,135.5802407
Igor Shesterkin,G,309.6115295,127.6115295
Mika Zibanejad,C,402.6035302,122.6035302
Tage Thompson,"C,RW",373.2963789,121.2963789
Jake Guentzel,LW,377.6313953,120.6313953
Kyle Connor,LW,376.1981342,119.1981342
Victor Hedman,D,334.3610609,118.3610609
Alex Ovechkin,LW,373.725813,116.725813
Alexandar Georgiev,G,298.3892807,116.3892807
Dougie Hamilton,D,331.4516888,115.4516888
Brady Tkachuk,LW,372.0366972,115.0366972
J.T. Miller,"C,LW,RW",364.1836711,112.1836711
Andrei Svechnikov,LW,364.4487416,107.4487416
Steven Stamkos,"C,LW",363.1116979,106.1116979
Brad Marchand,LW,362.5928486,105.5928486
William Nylander,"LW,RW",356.5880409,104.5880409
Sidney Crosby,C,382.9495711,102.9495711
Sebastian Aho,C,382.7947621,102.7947621
Jake Oettinger,G,283.3611425,101.3611425
Linus Ullmark,G,282.7743955,100.7743955
Aaron Ekblad,D,315.9148581,99.91485808
Ilya Sorokin,G,281.6394879,99.63948785
John Carlson,D,314.9960277,98.99602774
Alex DeBrincat,LW,355.142833,98.14283298
Timo Meier,"LW,RW",348.8771531,96.87715312
Artemi Panarin,LW,353.2136504,96.21365041
John Tavares,"C,LW",350.5122032,93.51220321
Charlie McAvoy,D,309.0006165,93.00061648
Joe Pavelski,"C,RW",340.8367832,88.83678318
Pavel Buchnevich,"LW,RW",340.3640055,88.36400554
Tristan Jarry,G,270.1444784,88.14447835
Kris Letang,D,303.9160067,87.91600665
Matt Boldy,"LW,RW",337.1124601,85.1124601
Jacob Markstrom,G,265.8186677,83.81866771
Patrice Bergeron,C,360.6338203,80.63382034
Kevin Fiala,"LW,RW",332.6155286,80.61552863
Quinn Hughes,D,296.54839,80.54839004
Chris Kreider,"LW,RW",337.4416417,80.44164168
Tim Stutzle,"C,LW",337.3314992,80.33149919
Darnell Nurse,D,295.4821737,79.48217373
Johnny Gaudreau,LW,335.9383191,78.93831906
Marc-Andre Fleury,G,260.7385162,78.73851622
Evander Kane,LW,333.6807953,76.6807953
Jack Eichel,C,76.29148448,76.29148448
Brandon Montour,D,289.9806789,73.98067892
Alex Pietrangelo,D,294.6623945,73.66239447
Jonathan Huberdeau,"LW,RW",325.6154103,73.61541025
Darcy Kuemper,G,253.2203868,71.22038684
Shea Theodore,D,286.8437804,70.84378039
Noah Dobson,D,285.0160655,69.01606554
Ryan Nugent-Hopkins,"C,LW",325.7757783,68.77577832
Mikhail Sergachev,D,284.0698724,68.06987242
Brent Burns,D,283.8025453,67.80254529
Brayden Point,C,347.2267456,67.22674562
Devon Toews,D,282.927592,66.92759204
Zach Hyman,"LW,RW",317.0901853,65.09018532
Moritz Seider,D,279.9344743,63.93447433
Sam Reinhart,"C,RW",315.4345778,63.43457776
Miro Heiskanen,D,279.0478887,63.0478887
Jakob Chychrun,D,278.8129178,62.81291778
Josh Morrissey,D,277.2421122,61.24211219
Erik Karlsson,D,276.7536983,60.75369835
Carter Hart,G,242.7067176,60.70671765
Elias Lindholm,C,340.5584886,60.55848858
Jordan Binnington,G,241.9803319,59.98033191
Travis Konecny,"C,RW",311.3004296,59.30042963
Roope Hintz,C,339.2790933,59.2790933
Vitek Vanecek,G,241.2518675,59.25186752
Patrick Kane,RW,310.9320464,58.93204637
Tyler Toffoli,"LW,RW",309.6945723,57.69457233
Jonathan Marchessault,"LW,RW",308.2966825,56.29668247
Sergei Bobrovsky,G,236.6401531,54.64015314
Nico Hischier,C,333.2316574,53.23165739
Martin Necas,RW,304.9084683,52.90846827
Morgan Rielly,D,268.6033399,52.60333991
Clayton Keller,"LW,RW",304.3224609,52.32246086
Jordan Kyrou,"LW,RW",304.0811852,52.08118519
Alex Tuch,RW,303.4174752,51.4174752
Evgeni Malkin,C,329.8440029,49.8440029
Ville Husso,G,231.6943996,49.69439959
Valeri Nichushkin,"LW,RW",300.5539803,48.55398035
Justin Faulk,D,264.2287767,48.22877666
Frederik Andersen,G,229.6544108,47.65441076
Carter Verhaeghe,LW,303.3263836,46.32638364
Jesper Bratt,RW,296.9334315,44.93343151
Thatcher Demko,G,226.7059128,44.70591285
Rasmus Andersson,D,260.4420372,44.44203721
Adrian Kempe,"C,LW,RW",295.696753,43.69675302
Mats Zuccarello,RW,295.1334449,43.13344486
Stuart Skinner,G,224.9029092,42.90290916
Tyson Barrie,D,256.6426128,40.64261283
Drew Doughty,D,255.6758021,39.67580206
Bo Horvat,C,319.441467,39.44146695
MacKenzie Weegar,D,254.2043682,38.20436819
David Perron,RW,289.5523084,37.55230837
John Gibson,G,218.9997083,36.99970826
Mark Scheifele,C,316.0742606,36.07426061
Jacob Trouba,D,250.8243725,34.82437248
