Player,RichVal,RichValRank,RotoWireRank,DifferenceRoto,DomRank,DifferenceDom,DynastyRank,Difference Dynasty,,,,50
Connor McDavid,260.4998918,1,1,TRUE,1,TRUE,1,TRUE,,,,
Leon Draisaitl,240.4524267,2,2,TRUE,3,TRUE,4,TRUE,,,,
Auston Matthews,236.3888025,3,3,TRUE,2,TRUE,2,TRUE,,,,
Nathan MacKinnon,191.2117718,4,4,TRUE,4,TRUE,3,TRUE,,,,
Andrei Vasilevskiy,177.8284026,5,1,TRUE,15,TRUE,5,TRUE,,,,
Mikko Rantanen,174.5147129,6,9,TRUE,7,TRUE,8,TRUE,,,,
David Pastrnak,174.3224219,7,16,TRUE,9,TRUE,7,TRUE,,,,
Connor Hellebuyck,163.6379577,8,5,TRUE,19,TRUE,28,TRUE,,,,
Kirill Kaprizov,159.6439303,9,5,TRUE,8,TRUE,23,TRUE,,,,
Nikita Kucherov,151.7850211,10,7,TRUE,14,TRUE,6,TRUE,,,,
Matthew Tkachuk,151.3716371,11,6,TRUE,18,TRUE,29,TRUE,,,,
Cale Makar,147.7311017,12,20,TRUE,6,TRUE,10,TRUE,,,,
Kyle Connor,147.4781802,13,19,TRUE,17,TRUE,30,TRUE,,,,
Jonathan Huberdeau,142.4259862,14,8,TRUE,30,TRUE,22,TRUE,,,,
Juuse Saros,141.4459302,15,4,TRUE,10,TRUE,54,TRUE,,,,
Jake Guentzel,140.0871947,16,31,TRUE,37,TRUE,41,TRUE,,,,
Mitchell Marner,138.0274891,17,18,TRUE,23,TRUE,#N/A,#N/A,,,,
Roman Josi,136.2452892,18,27,TRUE,5,TRUE,36,TRUE,,,,
Jacob Markstrom,134.3001693,19,7,TRUE,11,TRUE,63,TRUE,,,,
Victor Hedman,133.3752594,20,41,TRUE,12,TRUE,26,TRUE,,,,
Igor Shesterkin,131.9937394,21,2,TRUE,16,TRUE,51,TRUE,,,,
Alex Ovechkin,124.8014863,22,11,TRUE,13,TRUE,39,TRUE,,,,
Adam Fox,124.4385605,23,80,FALSE,25,TRUE,32,TRUE,,,,
Patrick Kane,122.7508436,24,25,TRUE,22,TRUE,19,TRUE,,,,
Moritz Seider,121.1589103,25,133,FALSE,26,TRUE,112,FALSE,,,,
Andrei Svechnikov,120.7838774,26,28,TRUE,64,TRUE,17,TRUE,,,,
Brady Tkachuk,118.7832836,27,21,TRUE,55,TRUE,37,TRUE,,,,
Johnny Gaudreau,114.7346939,28,10,TRUE,40,TRUE,35,TRUE,,,,
Artemi Panarin,113.0516691,29,23,TRUE,52,TRUE,11,TRUE,,,,
Aleksander Barkov,112.9847558,30,15,TRUE,34,TRUE,12,TRUE,,,,
Sebastian Aho,110.8835465,31,22,TRUE,59,TRUE,14,TRUE,,,,
Brad Marchand,109.1775409,32,36,TRUE,142,FALSE,13,TRUE,,,,
Mika Zibanejad,108.5696503,33,38,TRUE,77,TRUE,18,TRUE,,,,
J.T. Miller,105.3819298,34,24,TRUE,45,TRUE,97,FALSE,,,,
Alex DeBrincat,104.4516491,35,48,TRUE,71,TRUE,40,TRUE,,,,
Matty Beniers,103.0471033,36,261,FALSE,105,FALSE,176,FALSE,,,,
John Carlson,101.4154401,37,84,TRUE,20,TRUE,25,TRUE,,,,
Tristan Jarry,98.6168968,38,12,TRUE,54,TRUE,210,FALSE,,,,
