Player,Position,FP,FP/GP,Rank,
Connor McDavid,C,356,7,1,
Nathan MacKinnon,C,327,6,2,
Auston Matthews,C,307,6,3,
Mikko Rantanen,RW,302,6,4,
Leon Draisaitl,C/LW,301,6,5,
David Pastrnak,RW,295,6,6,
Kirill Kaprizov,LW/RW,288,6,7,
Jason Robertson,LW,271,6,8,
Nikita Kucherov,RW,268,5,9,
Roman Josi,D,263,5,10,
Tage Thompson,LW/RW,263,5,11,
Cale Makar,D,263,5,12,
Steven Stamkos,C/RW,256,5,13,
Matthew Tkachuk,LW/RW,256,5,14,
Mitch Marner,RW,244,5,15,
Alex Ovechkin,LW,243,5,16,
Sidney Crosby,C,242,5,17,
Nikolaj Ehlers,LW/RW,242,5,18,
Brad Marchand,LW,241,5,19,
Jack Hughes,C/LW,239,5,20,
Timo Meier,LW/RW,234,5,21,
Gabriel Landeskog,C/LW,233,4,22,
William Nylander,LW/RW,233,5,23,
Kyle Connor,LW,230,5,24,
Sebastian Aho,C,229,5,25,
Patrice Bergeron,C,229,4,26,
Mats Zuccarello,RW,229,4,27,
Jake Guentzel,LW/RW,228,5,28,
Valeri Nichushkin,LW/RW,228,4,29,
Aleksander Barkov,C,226,5,30,
Filip Forsberg,LW,224,4,31,
Jack Eichel,C,223,5,32,
Johnny Gaudreau,LW/RW,220,4,33,
Zach Hyman,LW/RW,220,4,34,
Alex Debrincat,LW/RW,217,4,35,
Jordan Kyrou,C/RW,217,4,36,
Brady Tkachuk,LW,216,4,37,
John Tavares,C,216,4,38,
Elias Pettersson,C,216,4,39,
Mika Zibanejad,C,215,4,40,
Evgeni Malkin,C,214,4,41,
Roope Hintz,C/LW,212,4,42,
Artemi Panarin,LW,212,4,43,
Joe Pavelski,C/RW,212,4,44,
Patrick Kane,RW,211,4,45,
Bo Horvat,C,210,4,46,
J.T. Miller,C/LW,209,4,47,
Nico Hischier,C,209,4,48,
Andrei Vasilevskiy,G,208,6,49,
Juuse Saros,G,205,5,50,
Ryan Nugent-Hopkins,C/LW,204,4,51,
Artturi Lehkonen,LW/RW,204,4,52,
Brayden Point,C/RW,202,4,53,
Travis Konecny,RW,202,4,54,
Sam Reinhart,C/RW,201,4,55,
Drake Batherson,RW,201,4,56,
Brock Nelson,C,200,4,57,
Patrik Laine,LW/RW,200,4,58,
Clayton Keller,LW/RW,200,4,59,
Nazem Kadri,C,200,4,60,
Andrei Svechnikov,LW/RW,200,4,61,
Mark Scheifele,C,199,4,62,
Max Pacioretty,LW,199,4,63,
Matt Duchene,C/RW,199,4,64,
Connor Hellebuyck,G,199,5,65,
Dylan Larkin,C,199,4,66,
Pavel Buchnevich,RW,198,4,67,
Aaron Ekblad,D,198,4,68,
Jesper Bratt,LW/RW,198,4,69,
Elias Lindholm,C/RW,197,4,70,
Alex Tuch,LW/RW,197,4,71,
Chris Kreider,LW,197,4,72,
Jonathan Marchessault,C/LW,194,4,73,
John Carlson,D,194,4,74,
Kevin Fiala,LW/RW,194,4,75,
Evander Kane,LW/RW,194,4,76,
Rasmus Dahlin,D,193,4,77,
David Perron,LW/RW,192,4,78,
Dougie Hamilton,D,192,4,79,
Adam Fox,D,191,4,80,
Joel Eriksson Ek,C,191,4,81,
Jonathan Huberdeau,LW,190,4,82,
Pierre-Luc Dubois,C,189,4,83,
Vladimir Tarasenko,RW,188,4,84,
Nick Suzuki,C/RW,187,4,85,
Jeff Skinner,LW,186,4,86,
Troy Terry,RW,186,4,87,
Martin Necas,C/RW,186,4,88,
Matt Boldy,LW/RW,185,4,89,
Tyler Toffoli,LW/RW,185,4,90,
Boone Jenner,C/LW,184,4,91,
Linus Ullmark,G,184,6,92,
Igor Shesterkin,G,182,5,93,
Charlie McAvoy,D,182,4,94,
Mark Stone,RW,181,4,95,
Mathew Barzal,C,181,4,96,
Cole Caufield,RW,181,4,97,
Tomas Hertl,C/LW,181,4,98,
Blake Wheeler,C/RW,180,4,99,
Rickard Rakell,LW/RW,179,4,100,
Jake Oettinger,G,179,5,101,
Tim Stützle,LW,179,4,102,
Devon Toews,D,179,3,103,
Tristan Jarry,G,178,6,104,
Alexandar Georgiev,G,178,5,105,
Thomas Chabot,D,178,4,106,
Shea Theodore,D,177,4,107,
Kris Letang,D,177,4,108,
Brandon Montour,D,176,4,109,
Quinn Hughes,D,176,3,110,
Erik Karlsson,D,176,4,111,
Brandon Hagel,LW/RW,176,3,112,
Jakob Chychrun,D,175,3,113,
Jake Debrusk,LW/RW,175,3,114,
J.T. Compher,C/RW,175,3,115,
Victor Hedman,D,175,3,116,
Alex Pietrangelo,D,175,4,117,
Claude Giroux,C/LW,174,3,118,
Andre Burakovsky,LW/RW,173,3,119,
Ilya Sorokin,G,172,5,120,
Robert Thomas,C/RW,172,4,121,
Logan Couture,C,172,4,122,
Miro Heiskanen,D,172,4,123,
Sam Bennett,C/LW,171,3,124,
Noah Dobson,D,171,3,125,
Jared McCann,C/LW,171,3,126,
Anders Lee,LW,170,3,127,
Darcy Kuemper,G,170,5,128,
Nick Schmaltz,C/RW,170,3,129,
Frederik Andersen,G,169,5,130,
Vincent Trocheck,C,169,4,131,
Andrei Kuzmenko,LW,168,3,132,
Jacob Markstrom,G,168,5,133,
Chandler Stephenson,C/LW,167,3,134,
Tony Deangelo,D,166,3,135,
Trevor Zegras,C/LW,166,3,136,
Brent Burns,D,166,3,137,
Anze Kopitar,C,166,4,138,
Tyson Barrie,D,165,3,139,
David Krejci,C,165,3,140,
Carter Verhaeghe,C/LW,165,3,141,
Marc-Andre Fleury,G,164,5,142,
Logan Thompson,G,164,5,143,
Taylor Hall,LW,164,3,144,
Jeff Petry,D,162,3,145,
Dominik Kubalik,LW/RW,162,3,146,
Vitek Vanecek,G,162,5,147,
Zach Werenski,D,162,3,148,
Evan Rodrigues,C/RW,162,3,149,
Morgan Rielly,D,161,3,150,
Adam Henrique,C/LW,159,3,151,
Ville Husso,G,159,5,152,
Jordan Binnington,G,159,5,153,
Shayne Gostisbehere,D,159,3,154,
Josh Morrissey,D,158,3,155,
Evgeny Kuznetsov,C,158,3,156,
Gustav Forsling,D,157,3,157,
Mikhail Sergachev,D,157,3,158,
Matty Beniers,C,157,3,159,
Ondrej Palat,LW,156,3,160,
Seth Jones,D,156,3,161,
Mike Matheson,D,156,3,162,
Rasmus Andersson,D,156,3,163,
Jamie Benn,C/LW,156,3,164,
Anthony Duclair,LW/RW,155,3,165,
Max Domi,C/LW,155,3,166,
Karel Vejmelka,G,155,5,167,
Adrian Kempe,LW/RW,154,3,168,
Teuvo Teravainen,LW/RW,153,3,169,
Darnell Nurse,D,152,3,170,
Kevin Hayes,C,152,3,171,
Dylan Cozens,C/RW,152,3,172,
Drew Doughty,D,151,3,173,
Bryan Rust,LW/RW,151,3,174,
Reilly Smith,RW,151,3,175,
Carter Hart,G,150,5,176,
Viktor Arvidsson,LW/RW,150,3,177,
Matt Murray,G,149,6,178,
Elvis Merzlikins,G,149,4,179,
Moritz Seider,D,149,3,180,
Thatcher Demko,G,147,5,181,
Vince Dunn,D,147,3,182,
Justin Faulk,D,146,3,183,
Noah Hanifin,D,146,3,184,
Michael Bunting,LW,145,3,185,
Mason Marchment,LW,145,3,186,
Ilya Mikheyev,LW/RW,145,3,187,
Tom Wilson,RW,144,3,188,
Dylan Strome,C/RW,143,3,189,
Frank Vatrano,LW/RW,143,3,190,
Mikael Granlund,C/RW,143,3,191,
Andrew Mangiapane,LW/RW,143,3,192,
Jake Allen,G,142,4,193,
Nicklas Backstrom,C,142,3,194,
Anton Lundell,C,141,3,195,
Hampus Lindholm,D,141,3,196,
James Van Riemsdyk,LW,141,3,197,
John Gibson,G,140,5,198,
Brayden Schenn,C/RW,140,3,199,
Tyler Bertuzzi,LW/RW,140,3,200,
Jean-Gabriel Pageau,C,140,3,201,
Jonathan Toews,C,140,3,202,
Jordan Eberle,RW,139,3,203,
Robby Fabbri,C/LW,139,3,204,
Dawson Mercer,RW,139,3,205,
Nick Paul,C/LW,138,3,206,
Lawson Crouse,LW,138,3,207,
Filip Hronek,D,138,3,208,
Torey Krug,D,138,3,209,
Alex Barabanov,RW,138,3,210,
Jaden Schwartz,LW,137,3,211,
Stuart Skinner,G,137,5,212,
Jack Roslovic,C/RW,137,3,213,
T.J. Oshie,RW,136,3,214,
Ryan O'Reilly,C,136,3,215,
Sergei Bobrovsky,G,136,6,216,
Cam Talbot,G,136,5,217,
Jared Spurgeon,D,135,3,218,
Phillip Danault,C,135,3,219,
Andrew Copp,LW/RW,134,3,220,
Tyler Seguin,C/RW,134,3,221,
Nino Niederreiter,LW/RW,134,3,222,
Trevor Moore,LW/RW,133,3,223,
Alex Killorn,LW/RW,133,3,224,
Ryan Johansen,C,133,3,225,
Ryan Hartman,C/RW,133,3,226,
Lucas Raymond,LW/RW,133,3,227,
Sean Monahan,C,133,3,228,
Brock Boeser,RW,132,3,229,
Spencer Knight,G,132,5,230,
Jonathan Quick,G,132,5,231,
Mikael Backlund,C/RW,132,3,232,
Jason Zucker,LW,131,3,233,
Craig Anderson,G,131,5,234,
Seth Jarvis,C/RW,131,3,235,
Jacob Trouba,D,130,3,236,
Cam Fowler,D,130,3,237,
Brett Pesce,D,129,3,238,
Kirby Dach,C,129,3,239,
Brady Skjei,D,129,3,240,
William Karlsson,C,128,3,241,
Pavel Zacha,C/LW,128,3,242,
Alex Newhook,C,128,2,243,
Mason McTavish,C,127,3,244,
Erik Haula,C/LW,126,3,245,
Sean Durzi,D,126,3,246,
Martin Jones,G,126,5,247,
Conor Sheary,LW/RW,126,3,248,
Jakub Voracek,LW/RW,126,3,249,
Mark Giordano,D,125,3,250,
Stefan Noesen,RW,125,3,251,
Oliver Bjorkstrand,LW/RW,125,2,252,
Mackenzie Weegar,D,125,3,253,
Brandon Saad,LW/RW,125,3,254,
Christian Dvorak,C/LW,123,2,255,
Mike Hoffman,LW/RW,123,2,256,
Shane Pinto,C,122,2,257,
Dmitry Orlov,D,122,3,258,
Rasmus Sandin,D,122,2,259,
Dillon Dube,LW/RW,122,2,260,
James Reimer,G,122,5,261,
Ivan Barbashev,C/RW,121,2,262,
Taylor Raddysh,RW,120,2,263,
Tomas Tatar,LW/RW,120,2,264,
Filip Chytil,C/RW,119,2,265,
Owen Tippett,RW,119,2,266,
Ivan Provorov,D,119,2,267,
Ilya Samsonov,G,119,5,268,
Zach Parise,LW,119,2,269,
Jordan Martinook,C/LW,119,2,270,
Scott Laughton,C/LW,119,2,271,
Jack Quinn,RW,119,2,272,
Josh Anderson,RW,118,2,273,
Gustav Nyquist,LW/RW,118,2,274,
Yanni Gourde,C/RW,118,2,275,
Evan Bouchard,D,118,2,276,
Adam Ruzicka,C,118,2,277,
Arthur Kaliyev,LW/RW,117,2,278,
Jaccob Slavin,D,117,2,279,
Colton Parayko,D,117,2,280,
Jordan Staal,C,117,2,281,
Jeff Carter,C/RW,117,2,282,
Jake Sanderson,D,117,2,283,
Bowen Byram,D,116,2,284,
Conor Garland,LW/RW,116,2,285,
Andreas Athanasiou,LW/RW,116,2,286,
Blake Coleman,LW/RW,116,2,287,
Alec Martinez,D,116,2,288,
Mattias Ekholm,D,116,2,289,
Jakub Vrana,LW,115,2,290,
Anthony Cirelli,C/RW,115,2,291,
Oskar Sundqvist,C,115,2,292,
Jack Campbell,G,115,5,293,
Neal Pionk,D,115,2,294,
Miles Wood,LW,114,2,295,
Eetu Luostarinen,C,114,2,296,
Anton Forsberg,G,113,5,297,
Marcus Foligno,LW/RW,113,2,298,
Erik Johnson,D,113,2,299,
Alex Stalock,G,112,4,300,
Alex Wennberg,C/LW,112,2,301,
Adam Larsson,D,112,2,302,
Nick Bjugstad,C/RW,112,2,303,
Fabian Zetterlund,LW/RW,111,2,304,
Matias MacCelli,LW,110,2,305,
Justin Schultz,D,110,2,306,
Noah Cates,LW,110,2,307,
Philipp Kurashev,C/LW,110,2,308,
Cole Perfetti,C,110,2,309,
Owen Power,D,110,2,310,
Sam Steel,C,110,2,311,
Gabriel Vilardi,C,110,2,312,
Brendan Gallagher,RW,110,2,313,
Frederick Gaudreau,C,110,2,314,
Ryan Strome,C/RW,110,2,315,
Charlie Coyle,C/RW,109,2,316,
Ross Colton,C/LW,109,2,317,
Kevin Labanc,LW/RW,109,2,318,
Jonas Brodin,D,108,2,319,
Kent Johnson,C,108,2,320,
Matt Dumba,D,108,2,321,
Morgan Frost,C,108,2,322,
Kyle Palmieri,RW,108,2,323,
Brandon Tanev,LW/RW,107,2,324,
Yegor Sharangovich,LW/RW,107,2,325,
Corey Perry,RW,107,2,326,
Nicolas Roy,C/RW,107,2,327,
Casey DeSmith,G,107,5,328,
Oliver Wahlstrom,RW,107,2,329,
Eric Comrie,G,106,5,330,
Calen Addison,D,106,2,331,
Joel Farabee,LW/RW,106,2,332,
Daniel Sprong,LW/RW,106,2,333,
Tanner Jeannot,LW,106,2,334,
Victor Olofsson,LW/RW,106,2,335,
William Carrier,LW/RW,105,2,336,
Samuel Girard,D,105,2,337,
Brayden McNabb,D,105,2,338,
Erik Gustafsson (D),D,105,2,339,
Ryan Pulock,D,104,2,340,
Marcus Johansson,C/LW,104,2,341,
Scott Mayfield,D,104,2,342,
Alex Kerfoot,C/RW,104,2,343,
Timothy Liljegren,D,103,2,344,
Travis Sanheim,D,103,2,345,
Oliver Kylington,D,103,2,346,
Logan O'Connor,RW,103,2,347,
Travis Boyd,C/RW,103,2,348,
Morgan Barron,C,103,2,349,
Alex Goligoski,D,103,2,350,
Adam Lowry,C,103,2,351,
Marcus Pettersson,D,103,2,352,
Anthony Mantha,LW/RW,103,2,353,
Wyatt Johnston,C,102,2,354,
Pierre Engvall,C/LW,102,2,355,
Anthony Beauvillier,LW,102,2,356,
Ben Chiarot,D,102,2,357,
Kevin Shattenkirk,D,101,2,358,
Philipp Grubauer,G,101,4,359,
